team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
OTT,2010,OTT,2010020415,OTT,NYR,HOME,20101209,Team Level,5on5,0.4581,0.5921,0.5,2797.0,19.464,1.51,1.272,4.742,0.627,11.094,7.756,1.473,1.46,1.423,17.0,10.0,18.0,45.0,1.0,2.0,0.0,2.0,3.0,8.0,11.0,16.0,26.0,5.0,13.0,20.0,19.0,8.0,7.0,20.0,7.0,0.0,0.63,0.88,0.0,0.0,1.0,0.0,43.872,27.0,26.689,3.0,0.264,0.13,0.13,1.644,1.586,1.567,19.734,1.786,1.502,4.154,0.607,10.777,8.174,1.758,1.848,1.819,19.0,8.0,4.0,31.0,3.0,1.0,0.0,2.0,0.0,5.0,16.0,16.0,24.0,5.0,13.0,17.0,25.0,4.0,3.0,23.0,2.0,2.0,0.889,0.284,0.613,1.0,0.0,2.0,31.507,27.0,27.231,1.0,0.307,0.076,0.076,2.018,2.089,2.071,0
WSH,2008,WSH,2008020871,WSH,COL,HOME,20090220,Team Level,all,0.5548,0.5648,0.5658,3600.0,30.097,2.568,1.999,6.235,0.969,16.361,14.869,2.483,2.469,2.388,29.0,14.0,18.0,61.0,1.0,0.0,0.0,8.0,0.0,15.0,19.0,28.0,42.0,5.0,10.0,36.0,21.0,10.0,16.0,33.0,8.0,2.0,1.147,0.945,0.475,0.0,1.0,0.0,57.483,43.0,41.027,10.0,0.436,0.0,0.0,3.003,2.888,2.795,24.544,2.061,1.804,5.433,0.846,13.366,9.49,2.046,2.23,2.213,25.0,8.0,14.0,47.0,4.0,1.0,1.0,12.0,0.0,8.0,8.0,21.0,29.0,3.0,6.0,24.0,16.0,11.0,9.0,24.0,8.0,1.0,0.765,1.071,0.226,0.0,4.0,0.0,49.969,33.0,34.834,4.0,0.39,0.108,0.108,2.343,2.525,2.513,0
ANA,2016,ANA,2016030171,ANA,CGY,HOME,20170413,Team Level,4on5,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.839,1.007,0.473,1.304,0.189,3.366,1.662,0.996,1.007,0.996,6.0,2.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,1.0,0.11,0.0,0.896,0.0,0.0,1.0,9.0,8.0,8.0,0.0,0.125,0.064,0.064,1.068,1.068,1.057,1
STL,2020,STL,2020020362,STL,ANA,AWAY,20210303,Team Level,5on4,1.0,1.0,1.0,148.0,2.702,1.949,0.097,0.162,0.04,0.501,0.252,1.883,1.949,1.883,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.949,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.048,0.0,0.0,1.997,1.997,1.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TBL,2022,TBL,2022020328,TBL,STL,HOME,20221125,Team Level,other,1.0,0.5,1.0,135.0,0.842,0.892,0.014,0.012,0.008,0.042,0.032,0.892,0.892,0.892,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.892,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.003,0.0,0.0,0.895,0.895,0.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NSH,2009,NSH,2009020678,NSH,VAN,AWAY,20100111,Team Level,4on5,0.5545,0.2222,0.2857,234.0,1.692,0.407,0.135,0.194,0.042,0.461,0.76,0.407,0.407,0.407,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.168,0.239,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.031,0.0,0.0,0.438,0.438,0.438,3.269,0.327,0.266,0.633,0.111,2.41,1.253,0.321,0.327,0.321,2.0,3.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,1.0,2.0,5.0,1.0,0.0,2.0,3.0,2.0,0.0,0.129,0.198,0.0,0.0,1.0,0.0,7.0,5.0,5.0,0.0,0.066,0.0,0.0,0.393,0.393,0.385,0
BUF,2016,BUF,2016020206,BUF,N.J,HOME,20161111,Team Level,5on5,0.4886,0.4756,0.4844,2887.0,22.791,1.602,1.389,5.407,0.677,12.38,9.544,1.593,1.562,1.553,23.0,8.0,8.0,39.0,0.0,0.0,0.0,7.0,1.0,8.0,15.0,23.0,31.0,3.0,8.0,26.0,29.0,3.0,7.0,26.0,4.0,1.0,0.806,0.594,0.202,0.0,0.0,0.0,39.118,31.0,31.184,5.0,0.284,0.0,0.0,1.886,1.84,1.828,23.272,1.677,1.523,5.472,0.926,13.283,10.12,1.663,1.728,1.714,27.0,6.0,10.0,43.0,2.0,0.0,0.0,6.0,1.0,10.0,14.0,25.0,31.0,2.0,4.0,22.0,18.0,2.0,6.0,28.0,5.0,0.0,0.981,0.696,0.0,2.0,0.0,0.0,43.25,33.0,33.216,4.0,0.314,0.0,0.0,1.991,2.053,2.032,0
FLA,2014,FLA,2014021207,FLA,BOS,HOME,20150409,Team Level,4on5,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791,1.149,0.409,0.825,0.151,2.934,1.532,0.923,1.149,0.923,6.0,1.0,4.0,11.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,5.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,2.0,0.029,0.0,1.121,0.0,0.0,1.0,11.0,7.0,7.0,0.0,0.11,0.859,0.859,0.4,0.4,0.39,0
WSH,2012,WSH,2012020065,WSH,BUF,HOME,20130127,Team Level,all,0.633,0.48,0.5342,3600.0,28.691,3.544,2.011,5.859,0.88,14.876,11.83,3.418,3.518,3.391,30.0,9.0,9.0,48.0,3.0,4.0,0.0,5.0,0.0,6.0,21.0,27.0,36.0,2.0,4.0,33.0,18.0,9.0,12.0,25.0,9.0,5.0,0.712,1.134,1.698,2.0,1.0,0.0,48.044,39.0,39.1,11.0,0.44,0.853,0.853,3.131,3.098,3.052,25.381,2.055,1.745,5.892,0.726,13.643,9.939,2.053,2.094,2.092,24.0,10.0,18.0,52.0,2.0,0.0,0.0,10.0,0.0,12.0,10.0,22.0,32.0,3.0,6.0,20.0,20.0,6.0,9.0,25.0,7.0,2.0,0.576,0.935,0.544,0.0,1.0,1.0,52.744,34.0,34.331,7.0,0.382,0.0,0.0,2.437,2.484,2.481,0
TOR,2017,TOR,2017020948,TOR,BOS,HOME,20180224,Team Level,4on5,0.0005,0.2,0.125,240.0,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.002,0.0,0.0,0.003,0.003,0.003,5.768,2.211,0.457,1.035,0.134,2.131,1.032,1.582,2.211,1.582,5.0,2.0,1.0,8.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,5.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,4.0,0.03,0.0,2.181,0.0,0.0,0.0,8.0,7.0,7.0,0.0,0.149,0.015,0.015,2.345,2.345,1.695,0
PIT,2019,PIT,2019021050,PIT,WSH,HOME,20200307,Team Level,5on4,0.7457,0.7692,0.7,335.0,4.74,0.475,0.436,1.275,0.174,3.145,1.495,0.455,0.475,0.455,3.0,4.0,3.0,10.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,6.0,0.0,0.0,5.0,3.0,1.0,2.0,5.0,2.0,0.0,0.27,0.205,0.0,0.0,1.0,0.0,10.0,7.0,7.0,0.0,0.103,0.0,0.0,0.578,0.578,0.554,1.765,0.162,0.158,0.349,0.107,0.85,1.375,0.16,0.162,0.16,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.045,0.116,0.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.034,0.0,0.0,0.196,0.196,0.193,0
VAN,2009,VAN,2009030171,VAN,L.A,HOME,20100415,Team Level,5on4,0.9831,0.9412,0.9231,371.0,8.734,1.106,0.783,1.647,0.263,5.279,2.921,1.008,1.106,1.008,10.0,2.0,4.0,16.0,1.0,1.0,1.0,3.0,0.0,4.0,3.0,9.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,4.0,2.0,0.21,0.446,0.45,0.0,0.0,1.0,16.0,12.0,12.0,0.0,0.197,0.244,0.244,1.06,1.06,1.008,0.676,0.019,0.021,0.126,0.021,0.232,0.581,0.019,0.019,0.019,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.005,0.0,0.0,0.023,0.023,0.023,1
OTT,2008,OTT,2008020139,OTT,FLA,AWAY,20081030,Team Level,other,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.367,0.117,0.117,0.295,0.05,1.141,0.28,0.117,0.117,0.117,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.025,0.091,0.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,0.032,0.0,0.0,0.149,0.149,0.149,0
CBJ,2009,CBJ,2009020472,CBJ,ANA,HOME,20091212,Team Level,5on4,0.9983,0.9286,0.9,375.0,6.184,0.575,0.616,1.1,0.193,4.493,2.022,0.54,0.575,0.54,8.0,1.0,4.0,13.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,8.0,9.0,0.0,0.0,7.0,1.0,0.0,0.0,5.0,4.0,0.0,0.195,0.38,0.0,0.0,0.0,0.0,13.0,9.0,9.0,0.0,0.149,0.0,0.0,0.724,0.724,0.681,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.002,0.0,0.0,0.003,0.003,0.003,0
MTL,2008,MTL,2008021105,MTL,T.B,HOME,20090326,Team Level,5on4,0.8848,0.9375,0.95,884.0,12.973,1.413,1.217,2.869,0.448,8.664,4.389,1.361,1.413,1.361,13.0,6.0,11.0,30.0,1.0,0.0,0.0,3.0,2.0,10.0,3.0,12.0,18.0,0.0,0.0,11.0,4.0,5.0,1.0,11.0,8.0,0.0,0.545,0.867,0.0,0.0,1.0,0.0,30.0,19.0,19.0,1.0,0.313,0.0,0.0,1.726,1.726,1.661,0.685,0.184,0.061,0.108,0.025,0.227,0.396,0.184,0.184,0.184,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,8.0,1.0,7.0,0.0,1.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,0.014,0.0,0.0,0.198,0.198,0.198,0
EDM,2011,EDM,2011020690,EDM,STL,AWAY,20120119,Team Level,5on5,0.1689,0.3718,0.3214,2722.0,13.669,0.515,0.72,3.449,0.398,7.149,5.768,0.499,0.538,0.521,11.0,7.0,11.0,29.0,0.0,0.0,0.0,2.0,0.0,12.0,4.0,11.0,18.0,4.0,11.0,19.0,15.0,3.0,3.0,17.0,1.0,0.0,0.397,0.118,0.0,0.0,0.0,0.0,29.643,18.0,18.417,3.0,0.148,0.0,0.0,0.662,0.692,0.672,28.019,2.535,1.893,6.854,0.985,14.744,10.989,2.437,2.426,2.332,29.0,9.0,11.0,49.0,1.0,4.0,1.0,5.0,0.0,11.0,17.0,28.0,37.0,4.0,11.0,23.0,25.0,5.0,3.0,28.0,8.0,2.0,0.897,1.039,0.599,0.0,1.0,0.0,47.642,38.0,36.973,2.0,0.396,0.891,0.891,2.041,1.95,1.895,0
